dir,entry,sl,tp,lot,open_ts,exit,reason,pnl,year,month,date
LONG,957.03,950.97,966.12,0.17,2009-08-04 08:00:00+00:00,966.12,tp,153.53000000000054,2009,8,2009-08-04
LONG,1061.28,1054.99,1070.72,0.16,2009-11-03 07:00:00+00:00,1070.72,tp,150.04000000000087,2009,11,2009-11-03
LONG,1108.38,1101.52,1118.67,0.15,2009-11-13 08:00:00+00:00,1118.67,tp,153.34999999999945,2009,11,2009-11-13
LONG,1136.18,1131.43,1143.3,0.21,2010-04-07 07:00:00+00:00,1143.3,tp,148.5199999999977,2010,4,2010-04-07
LONG,1167.83,1161.9,1176.72,0.17,2010-04-29 13:00:00+00:00,1176.72,tp,150.13000000000173,2010,4,2010-04-30
LONG,1204.05,1194.02,1219.1,0.1,2010-05-07 06:00:00+00:00,1194.02,sl,-101.29999999999973,2010,5,2010-05-07
SHORT,1182.15,1189.87,1170.57,0.13,2010-07-27 08:00:00+00:00,1170.57,tp,149.540000000002,2010,7,2010-07-27
LONG,1216.5,1211.37,1224.2,0.19,2010-08-13 07:00:00+00:00,1211.37,sl,-98.47000000000207,2010,8,2010-08-13
LONG,1227.83,1223.3,1234.63,0.22,2010-08-18 11:00:00+00:00,1234.63,tp,148.600000000004,2010,8,2010-08-19
LONG,1243.23,1238.19,1250.79,0.2,2010-08-31 08:00:00+00:00,1250.79,tp,150.1999999999989,2010,9,2010-09-01
LONG,1247.38,1242.95,1254.02,0.23,2010-09-02 06:00:00+00:00,1242.95,sl,-102.89000000000148,2010,9,2010-09-03
LONG,1272.85,1267.55,1280.8,0.19,2010-09-16 13:00:00+00:00,1280.8,tp,150.05000000000086,2010,9,2010-09-17
LONG,1281.13,1276.39,1288.24,0.21,2010-09-20 07:00:00+00:00,1276.39,sl,-100.54000000000019,2010,9,2010-09-21
LONG,1291.88,1287.14,1298.99,0.21,2010-09-23 06:00:00+00:00,1287.14,sl,-100.54000000000019,2010,9,2010-09-23
LONG,1332.98,1322.37,1348.89,0.09,2010-10-08 08:00:00+00:00,1348.89,tp,142.19000000000074,2010,10,2010-10-08
LONG,1398.13,1388.88,1412.0,0.11,2010-12-03 08:00:00+00:00,1412.0,tp,151.5699999999988,2010,12,2010-12-03
SHORT,1345.28,1351.48,1335.99,0.16,2011-01-24 11:00:00+00:00,1335.99,tp,147.63999999999942,2011,1,2011-01-24
LONG,1477.28,1469.93,1488.3,0.14,2011-04-15 06:00:00+00:00,1488.3,tp,153.27999999999975,2011,4,2011-04-18
LONG,1494.83,1488.06,1504.98,0.15,2011-04-19 11:00:00+00:00,1504.98,tp,151.25000000000136,2011,4,2011-04-20
LONG,1512.3,1503.04,1526.19,0.11,2011-04-27 12:00:00+00:00,1526.19,tp,151.7900000000011,2011,4,2011-04-27
LONG,1531.58,1522.96,1544.51,0.12,2011-04-28 08:00:00+00:00,1544.51,tp,154.16000000000076,2011,4,2011-04-29
LONG,1613.43,1606.77,1623.43,0.15,2011-07-26 11:00:00+00:00,1623.43,tp,149.0,2011,7,2011-07-26
SHORT,1643.65,1670.1,1603.97,0.04,2011-09-28 07:00:00+00:00,1603.97,tp,157.72000000000025,2011,9,2011-09-28
SHORT,1647.36,1661.37,1626.34,0.07,2011-10-19 07:00:00+00:00,1626.34,tp,146.1399999999999,2011,10,2011-10-19
SHORT,1639.9,1647.93,1627.85,0.12,2012-04-18 11:00:00+00:00,1647.93,sl,-97.35999999999967,2012,4,2012-04-19
SHORT,1642.45,1650.03,1631.08,0.13,2012-04-20 08:00:00+00:00,1631.08,tp,146.81000000000154,2012,4,2012-04-23
SHORT,1638.58,1644.8,1629.26,0.16,2012-05-07 07:00:00+00:00,1629.26,tp,148.11999999999898,2012,5,2012-05-08
SHORT,1582.56,1591.73,1568.81,0.11,2012-05-11 08:00:00+00:00,1568.81,tp,150.25,2012,5,2012-05-14
SHORT,1563.91,1577.5,1543.53,0.07,2012-05-24 12:00:00+00:00,1577.5,sl,-96.12999999999944,2012,5,2012-05-28
SHORT,1574.67,1583.73,1561.08,0.11,2012-07-18 11:00:00+00:00,1583.73,sl,-100.6599999999994,2012,7,2012-07-19
LONG,1608.23,1602.2,1617.27,0.17,2012-08-08 08:00:00+00:00,1617.27,tp,152.67999999999938,2012,8,2012-08-08
LONG,1612.98,1605.88,1623.63,0.14,2012-08-10 08:00:00+00:00,1623.63,tp,148.1000000000013,2012,8,2012-08-10
SHORT,1716.39,1722.85,1706.7,0.15,2012-12-03 08:00:00+00:00,1706.7,tp,144.35000000000082,2012,12,2012-12-04
SHORT,1696.7,1704.66,1684.76,0.13,2012-12-13 12:00:00+00:00,1684.76,tp,154.2200000000007,2012,12,2012-12-18
SHORT,1430.46,1441.99,1413.17,0.09,2013-05-14 11:00:00+00:00,1413.17,tp,154.60999999999967,2013,5,2013-05-15
SHORT,1314.81,1325.94,1298.11,0.09,2013-09-17 08:00:00+00:00,1298.11,tp,149.3000000000004,2013,9,2013-09-17
LONG,1264.74,1257.11,1276.19,0.13,2014-01-24 13:00:00+00:00,1257.11,sl,-100.19000000000142,2014,1,2014-01-27
LONG,1290.78,1284.62,1300.02,0.16,2014-02-12 07:00:00+00:00,1300.02,tp,146.84000000000015,2014,2,2014-02-13
LONG,1334.35,1328.33,1343.38,0.17,2014-02-25 06:00:00+00:00,1343.38,tp,152.5100000000034,2014,2,2014-02-25
LONG,1373.23,1367.17,1382.31,0.17,2014-03-14 07:00:00+00:00,1382.31,tp,153.35999999999876,2014,3,2014-03-14
SHORT,1282.83,1289.38,1273.01,0.15,2014-05-01 13:00:00+00:00,1289.38,sl,-99.25000000000273,2014,5,2014-05-02
LONG,1323.47,1317.8,1331.97,0.18,2014-07-09 13:00:00+00:00,1331.97,tp,152.0,2014,7,2014-07-09
LONG,1337.47,1330.95,1347.24,0.15,2014-07-10 13:00:00+00:00,1330.95,sl,-98.79999999999973,2014,7,2014-07-14
SHORT,1298.11,1302.32,1291.8,0.24,2014-08-19 08:00:00+00:00,1291.8,tp,150.4399999999987,2014,8,2014-08-20
SHORT,1268.43,1273.69,1260.54,0.19,2014-09-04 08:00:00+00:00,1273.69,sl,-100.93999999999983,2014,9,2014-09-04
SHORT,1237.03,1242.83,1228.33,0.17,2014-09-12 06:00:00+00:00,1228.33,tp,146.90000000000077,2014,9,2014-09-12
LONG,1223.94,1216.84,1234.59,0.14,2015-01-12 08:00:00+00:00,1234.59,tp,148.0999999999981,2015,1,2015-01-12
SHORT,1214.78,1222.49,1203.21,0.13,2015-02-19 08:00:00+00:00,1203.21,tp,149.40999999999917,2015,2,2015-02-20
SHORT,1206.09,1213.58,1194.86,0.13,2015-03-03 08:00:00+00:00,1213.58,sl,-98.37000000000012,2015,3,2015-03-03
SHORT,1182.65,1188.57,1173.77,0.17,2015-06-03 12:00:00+00:00,1173.77,tp,149.96000000000188,2015,6,2015-06-04
SHORT,1155.13,1159.17,1149.07,0.25,2015-07-14 12:00:00+00:00,1149.07,tp,150.50000000000432,2015,7,2015-07-15
SHORT,1095.83,1102.89,1085.24,0.14,2015-07-23 08:00:00+00:00,1085.24,tp,147.25999999999885,2015,7,2015-07-23
LONG,1175.6,1167.99,1187.01,0.13,2015-10-14 08:00:00+00:00,1187.01,tp,147.33000000000106,2015,10,2015-10-14
SHORT,1086.59,1090.41,1080.85,0.26,2015-11-12 06:00:00+00:00,1080.85,tp,148.24000000000024,2015,11,2015-11-12
SHORT,1061.85,1065.42,1056.49,0.28,2015-12-31 06:00:00+00:00,1065.42,sl,-100.96000000000458,2016,1,2016-01-04
LONG,1118.81,1114.18,1125.76,0.22,2016-01-27 07:00:00+00:00,1125.76,tp,151.900000000001,2016,1,2016-01-27
LONG,1187.45,1179.23,1199.78,0.12,2016-02-10 08:00:00+00:00,1199.78,tp,146.95999999999913,2016,2,2016-02-10
LONG,1249.27,1243.91,1257.3,0.19,2016-04-27 11:00:00+00:00,1243.91,sl,-102.83999999999811,2016,4,2016-04-27
LONG,1281.18,1275.36,1289.91,0.17,2016-06-14 06:00:00+00:00,1289.91,tp,147.41000000000034,2016,6,2016-06-15
LONG,1350.62,1342.96,1362.11,0.13,2016-07-05 11:00:00+00:00,1362.11,tp,148.37000000000012,2016,7,2016-07-05
SHORT,1313.4,1318.0,1306.5,0.22,2016-10-03 08:00:00+00:00,1306.5,tp,150.800000000002,2016,10,2016-10-04
SHORT,1255.92,1261.29,1247.87,0.19,2016-10-11 12:00:00+00:00,1261.29,sl,-103.02999999999793,2016,10,2016-10-12
SHORT,1253.67,1259.38,1245.11,0.18,2016-10-14 13:00:00+00:00,1259.38,sl,-103.78000000000065,2016,10,2016-10-17
SHORT,1161.44,1168.66,1150.61,0.14,2016-12-14 12:00:00+00:00,1150.61,tp,150.62000000000216,2016,12,2016-12-14
SHORT,1220.94,1227.38,1211.29,0.16,2017-07-07 08:00:00+00:00,1211.29,tp,153.40000000000146,2017,7,2017-07-07
SHORT,1266.09,1270.23,1259.88,0.24,2017-12-06 07:00:00+00:00,1259.88,tp,148.03999999999542,2017,12,2017-12-07
LONG,1318.35,1312.31,1327.41,0.17,2018-01-10 13:00:00+00:00,1327.41,tp,153.02000000000297,2018,1,2018-01-11
SHORT,1295.46,1300.19,1288.37,0.21,2018-06-01 12:00:00+00:00,1300.19,sl,-100.33000000000037,2018,6,2018-06-05
SHORT,1257.87,1262.11,1251.51,0.24,2018-06-26 13:00:00+00:00,1251.51,tp,151.6399999999976,2018,6,2018-06-27
SHORT,1241.4,1245.41,1235.38,0.25,2018-07-13 13:00:00+00:00,1245.41,sl,-101.24999999999977,2018,7,2018-07-16
SHORT,1241.78,1245.56,1236.1,0.26,2018-07-17 06:00:00+00:00,1236.1,tp,146.68000000000166,2018,7,2018-07-17
LONG,1233.32,1228.54,1240.49,0.21,2018-10-23 11:00:00+00:00,1228.54,sl,-101.37999999999943,2018,10,2018-10-24
LONG,1230.46,1225.79,1237.47,0.21,2018-10-24 13:00:00+00:00,1237.47,tp,146.2099999999998,2018,10,2018-10-24
LONG,1223.33,1219.57,1228.97,0.27,2018-11-21 06:00:00+00:00,1228.97,tp,151.2800000000027,2018,11,2018-11-21
