dir,entry,sl,tp,lot,open_ts,session,exit,reason,pnl,year,month,date
LONG,981.18,973.82,1003.27,0.14,2009-06-02 15:00:00+00:00,NY,973.82,sl,-104.0399999999986,2009,6,2009-06-03
SHORT,923.8,928.08,910.96,0.23,2009-07-06 14:00:00+00:00,NY,928.08,sl,-99.44000000000199,2009,7,2009-07-07
SHORT,913.1,919.02,895.34,0.17,2009-07-09 14:00:00+00:00,NY,919.02,sl,-101.6399999999993,2009,7,2009-07-13
LONG,953.05,948.41,966.97,0.22,2009-07-23 08:00:00+00:00,London,948.41,sl,-103.0799999999997,2009,7,2009-07-23
LONG,954.08,949.52,967.76,0.22,2009-07-27 14:00:00+00:00,NY,949.52,sl,-101.3200000000013,2009,7,2009-07-28
LONG,957.03,950.97,975.2,0.17,2009-08-04 08:00:00+00:00,London,950.97,sl,-104.01999999999909,2009,8,2009-08-10
LONG,958.03,953.35,972.06,0.21,2009-08-14 07:00:00+00:00,London,953.35,sl,-99.27999999999895,2009,8,2009-08-14
LONG,1015.13,1009.65,1031.57,0.18,2009-09-22 15:00:00+00:00,NY,1009.65,sl,-99.64000000000033,2009,9,2009-09-23
LONG,1055.4,1049.55,1072.96,0.17,2009-10-12 15:00:00+00:00,NY,1049.55,sl,-100.45000000000232,2009,10,2009-10-15
LONG,1061.28,1054.99,1080.16,0.16,2009-11-03 07:00:00+00:00,London,1080.16,tp,301.08000000000175,2009,11,2009-11-03
LONG,1090.4,1083.71,1110.46,0.15,2009-11-05 14:00:00+00:00,NY,1110.46,tp,299.8999999999992,2009,11,2009-11-09
LONG,1102.98,1096.95,1121.08,0.17,2009-11-10 13:00:00+00:00,NY,1121.08,tp,306.6999999999985,2009,11,2009-11-11
LONG,1108.38,1101.52,1128.96,0.15,2009-11-13 08:00:00+00:00,London,1128.96,tp,307.6999999999989,2009,11,2009-11-16
LONG,1144.73,1137.42,1166.65,0.14,2009-11-18 15:00:00+00:00,NY,1137.42,sl,-103.33999999999925,2009,11,2009-11-19
LONG,1169.13,1161.96,1190.65,0.14,2009-11-24 14:00:00+00:00,NY,1190.65,tp,300.27999999999975,2009,11,2009-11-25
SHORT,1092.4,1099.29,1071.74,0.15,2010-01-27 08:00:00+00:00,London,1099.29,sl,-104.34999999999808,2010,1,2010-01-27
SHORT,1086.53,1095.51,1059.59,0.11,2010-01-28 15:00:00+00:00,NY,1095.51,sl,-99.7800000000002,2010,2,2010-02-01
SHORT,1065.93,1075.32,1037.77,0.11,2010-02-08 13:00:00+00:00,NY,1075.32,sl,-104.2899999999986,2010,2,2010-02-09
SHORT,1072.33,1080.78,1046.97,0.12,2010-02-10 13:00:00+00:00,NY,1080.78,sl,-102.40000000000053,2010,2,2010-02-11
LONG,1110.53,1102.65,1134.17,0.13,2010-02-26 08:00:00+00:00,London,1134.17,tp,306.3200000000013,2010,3,2010-03-02
SHORT,1091.03,1096.9,1073.43,0.17,2010-03-25 11:00:00+00:00,NY,1096.9,sl,-100.79000000000202,2010,3,2010-03-26
