dir,entry,sl,tp,lot,open_ts,session,exit,reason,pnl,year,month,date
SHORT,889.98,897.02,875.9,0.14,2009-04-16 08:45:00+00:00,London,875.9,tp,196.12000000000057,2009,4,2009-04-16
SHORT,870.18,876.79,856.95,0.15,2009-04-17 08:30:00+00:00,London,876.79,sl,-100.1500000000002,2009,4,2009-04-20
LONG,894.33,889.22,904.55,0.2,2009-04-23 06:15:00+00:00,London,904.55,tp,203.39999999999827,2009,4,2009-04-23
SHORT,881.75,887.91,869.42,0.16,2009-05-01 07:00:00+00:00,London,887.91,sl,-99.55999999999949,2009,5,2009-05-01
LONG,903.18,896.26,917.01,0.14,2009-05-05 06:30:00+00:00,London,896.26,sl,-97.87999999999943,2009,5,2009-05-05
LONG,903.8,897.13,917.15,0.15,2009-05-06 06:15:00+00:00,London,917.15,tp,199.25000000000034,2009,5,2009-05-07
LONG,916.75,910.65,928.95,0.16,2009-05-08 07:15:00+00:00,London,910.65,sl,-98.60000000000036,2009,5,2009-05-08
LONG,918.73,913.5,929.2,0.19,2009-05-12 07:00:00+00:00,London,929.2,tp,197.93000000000052,2009,5,2009-05-13
LONG,928.73,924.09,938.01,0.22,2009-05-15 08:30:00+00:00,London,924.09,sl,-103.0799999999997,2009,5,2009-05-18
LONG,929.93,925.54,938.7,0.23,2009-05-20 06:30:00+00:00,London,938.7,tp,200.7100000000022,2009,5,2009-05-20
LONG,952.8,945.8,966.8,0.14,2009-05-28 08:30:00+00:00,London,966.8,tp,195.00000000000003,2009,5,2009-05-29
SHORT,933.58,939.44,921.85,0.17,2009-07-02 08:00:00+00:00,London,921.85,tp,198.41000000000034,2009,7,2009-07-06
SHORT,921.95,926.47,912.9,0.22,2009-07-06 08:30:00+00:00,London,926.47,sl,-100.4399999999996,2009,7,2009-07-07
SHORT,921.48,926.78,910.87,0.19,2009-07-08 06:45:00+00:00,London,910.87,tp,200.59000000000026,2009,7,2009-07-08
SHORT,908.53,913.62,898.35,0.2,2009-07-10 07:15:00+00:00,London,913.62,sl,-102.80000000000065,2009,7,2009-07-10
LONG,934.98,930.72,943.49,0.23,2009-07-17 08:45:00+00:00,London,943.49,tp,194.7299999999998,2009,7,2009-07-20
LONG,954.58,949.94,963.86,0.22,2009-07-23 08:00:00+00:00,London,949.94,sl,-103.0799999999997,2009,7,2009-07-23
LONG,952.05,947.7,960.75,0.23,2009-07-24 08:30:00+00:00,London,947.7,sl,-101.04999999999791,2009,7,2009-07-28
SHORT,933.38,939.51,921.13,0.16,2009-07-29 08:30:00+00:00,London,939.51,sl,-99.07999999999993,2009,7,2009-07-31
LONG,954.45,948.6,966.15,0.17,2009-08-03 06:00:00+00:00,London,966.15,tp,197.89999999999887,2009,8,2009-08-04
LONG,965.93,961.1,975.58,0.21,2009-08-05 07:45:00+00:00,London,961.1,sl,-102.42999999999847,2009,8,2009-08-05
LONG,962.45,956.85,973.65,0.18,2009-08-06 07:00:00+00:00,London,956.85,sl,-101.8000000000004,2009,8,2009-08-06
SHORT,946.63,950.99,937.92,0.23,2009-08-11 07:00:00+00:00,London,950.99,sl,-101.28000000000033,2009,8,2009-08-12
LONG,956.2,951.52,965.55,0.21,2009-08-14 06:45:00+00:00,London,951.52,sl,-99.28000000000134,2009,8,2009-08-14
LONG,955.48,951.35,963.74,0.24,2009-08-24 07:00:00+00:00,London,951.35,sl,-100.11999999999989,2009,8,2009-08-24
LONG,951.63,946.95,960.99,0.21,2009-08-28 08:00:00+00:00,London,946.95,sl,-99.27999999999895,2009,8,2009-08-31
LONG,1003.73,996.59,1018.02,0.14,2009-09-11 08:30:00+00:00,London,996.59,sl,-100.95999999999981,2009,9,2009-09-14
LONG,1016.73,1010.92,1028.36,0.17,2009-09-22 08:15:00+00:00,London,1010.92,sl,-99.77000000000102,2009,9,2009-09-23
SHORT,988.15,995.62,973.22,0.13,2009-09-25 08:30:00+00:00,London,995.62,sl,-98.11000000000037,2009,9,2009-09-28
SHORT,1039.8,1045.25,1028.91,0.18,2009-10-27 06:30:00+00:00,London,1028.91,tp,195.0199999999977,2009,10,2009-10-28
LONG,1108.18,1101.32,1121.9,0.15,2009-11-13 08:15:00+00:00,London,1121.9,tp,204.80000000000038,2009,11,2009-11-16
LONG,1169.18,1162.05,1183.44,0.14,2009-11-24 07:00:00+00:00,London,1183.44,tp,198.63999999999987,2009,11,2009-11-25
LONG,1185.68,1178.61,1199.81,0.14,2009-11-26 08:00:00+00:00,London,1178.61,sl,-99.9800000000023,2009,11,2009-11-27
LONG,1194.35,1183.32,1216.42,0.09,2009-12-01 06:45:00+00:00,London,1216.42,tp,197.63000000000147,2009,12,2009-12-02
SHORT,1120.5,1129.41,1102.68,0.11,2009-12-14 08:45:00+00:00,London,1129.41,sl,-99.0100000000009,2009,12,2009-12-16
SHORT,1105.93,1115.14,1087.51,0.11,2009-12-18 07:30:00+00:00,London,1115.14,sl,-102.31000000000041,2009,12,2009-12-18
SHORT,1081.4,1089.13,1065.94,0.13,2009-12-23 07:00:00+00:00,London,1089.13,sl,-101.49000000000024,2009,12,2009-12-23
SHORT,1092.1,1097.66,1080.99,0.18,2009-12-30 06:00:00+00:00,London,1097.66,sl,-101.0800000000031,2009,12,2009-12-30
SHORT,1102.93,1109.15,1090.48,0.16,2009-12-31 08:30:00+00:00,London,1109.15,sl,-100.52000000000044,2010,1,2010-01-04
LONG,1123.48,1115.53,1139.39,0.13,2010-01-08 08:15:00+00:00,London,1139.39,tp,205.8300000000011,2010,1,2010-01-11
SHORT,1104.95,1114.46,1085.93,0.11,2010-01-21 08:45:00+00:00,London,1085.93,tp,208.21999999999977,2010,1,2010-01-22
SHORT,1095.23,1102.12,1081.46,0.15,2010-01-27 08:00:00+00:00,London,1081.46,tp,205.5499999999997,2010,1,2010-01-27
SHORT,1088.05,1095.19,1073.76,0.14,2010-01-28 06:45:00+00:00,London,1095.19,sl,-100.96000000000141,2010,1,2010-01-28
SHORT,1083.93,1092.35,1067.08,0.12,2010-01-29 08:45:00+00:00,London,1092.35,sl,-102.03999999999813,2010,2,2010-02-01
LONG,1112.08,1102.19,1131.86,0.1,2010-02-18 08:15:00+00:00,London,1102.19,sl,-99.89999999999873,2010,2,2010-02-18
LONG,1110.03,1099.38,1131.33,0.09,2010-02-19 08:15:00+00:00,London,1099.38,sl,-96.84999999999877,2010,2,2010-02-23
SHORT,1091.55,1099.35,1075.95,0.13,2010-02-25 06:00:00+00:00,London,1099.35,sl,-102.39999999999941,2010,2,2010-02-25
SHORT,1106.75,1112.8,1094.65,0.17,2010-03-11 06:30:00+00:00,London,1112.8,sl,-103.84999999999924,2010,3,2010-03-11
SHORT,1111.8,1118.63,1098.15,0.15,2010-03-12 08:30:00+00:00,London,1118.63,sl,-103.4500000000023,2010,3,2010-03-16
SHORT,1099.95,1106.58,1086.68,0.15,2010-03-22 08:45:00+00:00,London,1106.58,sl,-100.44999999999821,2010,3,2010-03-23
SHORT,1095.73,1101.89,1083.42,0.16,2010-03-24 07:00:00+00:00,London,1101.89,sl,-99.56000000000131,2010,3,2010-03-26
LONG,1110.83,1106.03,1120.44,0.21,2010-03-30 06:30:00+00:00,London,1106.03,sl,-101.79999999999905,2010,3,2010-03-30
LONG,1116.35,1111.73,1125.58,0.22,2010-04-01 06:30:00+00:00,London,1125.58,tp,202.06000000000043,2010,4,2010-04-01
LONG,1120.2,1115.31,1129.97,0.2,2010-04-02 06:00:00+00:00,London,1129.97,tp,194.39999999999964,2010,4,2010-04-05
LONG,1136.18,1131.43,1145.68,0.21,2010-04-07 06:00:00+00:00,London,1145.68,tp,198.5,2010,4,2010-04-07
LONG,1146.38,1141.27,1156.61,0.2,2010-04-08 07:00:00+00:00,London,1156.61,tp,203.59999999999582,2010,4,2010-04-09
LONG,1158.88,1153.51,1169.61,0.19,2010-04-14 07:45:00+00:00,London,1153.51,sl,-103.03000000000225,2010,4,2010-04-14
LONG,1156.18,1150.63,1167.28,0.18,2010-04-26 07:45:00+00:00,London,1150.63,sl,-100.89999999999918,2010,4,2010-04-26
LONG,1164.68,1158.44,1177.16,0.16,2010-04-28 07:30:00+00:00,London,1177.16,tp,198.6800000000003,2010,4,2010-04-30
LONG,1175.25,1169.15,1187.45,0.16,2010-04-30 08:30:00+00:00,London,1187.45,tp,194.20000000000073,2010,5,2010-05-03
SHORT,1179.23,1191.48,1154.73,0.08,2010-05-21 07:00:00+00:00,London,1191.48,sl,-99.0,2010,5,2010-05-24
LONG,1214.18,1208.86,1224.81,0.19,2010-05-28 07:00:00+00:00,London,1208.86,sl,-102.0800000000031,2010,5,2010-05-28
LONG,1223.08,1218.38,1232.48,0.21,2010-06-01 07:15:00+00:00,London,1218.38,sl,-99.69999999999618,2010,6,2010-06-02
LONG,1234.68,1228.89,1246.25,0.17,2010-06-16 08:00:00+00:00,London,1228.89,sl,-99.42999999999938,2010,6,2010-06-16
LONG,1245.83,1238.01,1261.48,0.13,2010-06-25 06:30:00+00:00,London,1261.48,tp,202.45000000000118,2010,6,2010-06-28
SHORT,1197.38,1204.9,1182.34,0.13,2010-07-08 08:15:00+00:00,London,1204.9,sl,-98.75999999999976,2010,7,2010-07-09
SHORT,1184.3,1192.02,1168.86,0.13,2010-07-27 08:00:00+00:00,London,1168.86,tp,199.7200000000007,2010,7,2010-07-27
