dir,entry,sl,tp,lot,open_ts,session,exit,reason,pnl,year,month,date
LONG,893.08,887.97,903.3,0.2,2009-04-23 08:30:00+00:00,London,903.3,tp,203.39999999999827,2009,4,2009-04-23
SHORT,881.75,888.12,869.01,0.16,2009-05-01 07:00:00+00:00,London,888.12,sl,-102.92000000000007,2009,5,2009-05-01
SHORT,885.73,891.7,873.8,0.17,2009-05-01 14:15:00+00:00,NY,891.7,sl,-102.49000000000048,2009,5,2009-05-03
LONG,903.18,897.32,914.9,0.17,2009-05-05 06:30:00+00:00,London,914.9,tp,198.2400000000005,2009,5,2009-05-05
LONG,903.8,896.8,917.8,0.14,2009-05-06 06:15:00+00:00,London,917.8,tp,195.00000000000003,2009,5,2009-05-07
LONG,915.68,908.08,930.89,0.13,2009-05-07 12:30:00+00:00,NY,908.08,sl,-99.79999999999882,2009,5,2009-05-08
LONG,919.48,913.94,930.55,0.18,2009-05-12 12:00:00+00:00,NY,930.55,tp,198.25999999999883,2009,5,2009-05-13
LONG,931.83,927.19,941.11,0.22,2009-05-15 12:00:00+00:00,NY,927.19,sl,-103.0799999999997,2009,5,2009-05-18
LONG,937.88,932.39,948.85,0.18,2009-05-20 12:00:00+00:00,NY,948.85,tp,196.4600000000005,2009,5,2009-05-21
LONG,961.63,954.63,975.63,0.14,2009-05-28 14:15:00+00:00,NY,975.63,tp,195.00000000000003,2009,5,2009-05-29
LONG,981.93,974.22,997.35,0.13,2009-06-02 12:30:00+00:00,NY,974.22,sl,-101.229999999999,2009,6,2009-06-03
SHORT,930.5,936.36,918.77,0.17,2009-07-02 15:15:00+00:00,NY,918.77,tp,198.41000000000034,2009,7,2009-07-08
SHORT,921.48,926.8,910.85,0.19,2009-07-08 06:45:00+00:00,London,910.85,tp,200.96999999999989,2009,7,2009-07-08
SHORT,908.53,913.59,898.41,0.2,2009-07-10 07:15:00+00:00,London,913.59,sl,-102.20000000000118,2009,7,2009-07-10
SHORT,909.93,914.21,901.37,0.23,2009-07-13 11:00:00+00:00,NY,914.21,sl,-99.44000000000199,2009,7,2009-07-13
LONG,938.5,934.24,947.01,0.23,2009-07-17 12:45:00+00:00,NY,947.01,tp,194.7299999999998,2009,7,2009-07-20
LONG,954.58,950.53,962.68,0.25,2009-07-23 08:00:00+00:00,London,950.53,sl,-102.2500000000017,2009,7,2009-07-23
LONG,952.05,947.62,960.91,0.23,2009-07-24 08:30:00+00:00,London,947.62,sl,-102.88999999999886,2009,7,2009-07-26
LONG,956.23,951.76,965.16,0.22,2009-07-27 08:45:00+00:00,London,951.76,sl,-99.3400000000006,2009,7,2009-07-27
LONG,954.45,948.94,965.47,0.18,2009-08-03 06:00:00+00:00,London,965.47,tp,197.35999999999967,2009,8,2009-08-04
LONG,964.3,958.92,975.06,0.19,2009-08-05 12:15:00+00:00,NY,958.92,sl,-103.21999999999991,2009,8,2009-08-06
LONG,964.33,958.13,976.73,0.16,2009-08-06 14:30:00+00:00,NY,958.13,sl,-100.20000000000073,2009,8,2009-08-07
SHORT,946.63,951.15,937.59,0.22,2009-08-11 07:00:00+00:00,London,951.15,sl,-100.4399999999996,2009,8,2009-08-12
LONG,956.2,951.45,965.7,0.21,2009-08-14 06:45:00+00:00,London,951.45,sl,-100.75,2009,8,2009-08-14
SHORT,937.28,941.73,928.37,0.22,2009-08-18 13:15:00+00:00,NY,941.73,sl,-98.900000000001,2009,8,2009-08-18
SHORT,934.28,938.53,925.78,0.24,2009-08-19 08:00:00+00:00,London,938.53,sl,-103.0,2009,8,2009-08-19
LONG,954.98,950.67,963.61,0.23,2009-08-31 07:15:00+00:00,London,950.67,sl,-100.13000000000136,2009,8,2009-08-31
LONG,1016.73,1011.04,1028.1,0.18,2009-09-22 08:15:00+00:00,London,1011.04,sl,-103.42000000000098,2009,9,2009-09-23
SHORT,989.63,997.1,974.7,0.13,2009-09-25 13:30:00+00:00,NY,997.1,sl,-98.11000000000037,2009,9,2009-09-30
LONG,1065.83,1059.51,1078.47,0.16,2009-10-14 06:45:00+00:00,London,1059.51,sl,-102.11999999999898,2009,10,2009-10-14
SHORT,1039.8,1045.64,1028.12,0.17,2009-10-27 06:30:00+00:00,London,1028.12,tp,197.56000000000108,2009,10,2009-10-28
LONG,1116.4,1109.54,1130.12,0.15,2009-11-13 15:00:00+00:00,NY,1130.12,tp,204.799999999997,2009,11,2009-11-15
LONG,1138.9,1131.69,1153.32,0.14,2009-11-17 13:15:00+00:00,NY,1131.69,sl,-101.94000000000052,2009,11,2009-11-19
LONG,1169.13,1162.0,1183.39,0.14,2009-11-24 08:30:00+00:00,London,1183.39,tp,198.63999999999987,2009,11,2009-11-25
LONG,1192.83,1181.8,1214.9,0.09,2009-12-01 08:15:00+00:00,London,1214.9,tp,197.63000000000147,2009,12,2009-12-02
