dir,entry,sl,tp,lot,open_ts,session,exit,reason,pnl,year,month,date
SHORT,880.45,886.74,861.59,0.16,2009-04-09 12:45:00+00:00,NY,886.74,sl,-101.63999999999942,2009,4,2009-04-12
LONG,893.08,887.97,908.42,0.2,2009-04-23 08:30:00+00:00,London,908.42,tp,305.79999999999836,2009,4,2009-04-23
SHORT,881.75,888.12,862.64,0.16,2009-05-01 07:00:00+00:00,London,888.12,sl,-102.92000000000007,2009,5,2009-05-01
SHORT,885.73,891.7,867.83,0.17,2009-05-01 14:15:00+00:00,NY,891.7,sl,-102.49000000000048,2009,5,2009-05-03
LONG,903.18,897.32,920.76,0.17,2009-05-05 06:30:00+00:00,London,897.32,sl,-100.61999999999831,2009,5,2009-05-05
LONG,903.8,896.8,924.8,0.14,2009-05-06 06:15:00+00:00,London,924.8,tp,293.00000000000006,2009,5,2009-05-07
LONG,915.68,908.08,938.49,0.13,2009-05-07 12:30:00+00:00,NY,908.08,sl,-99.79999999999882,2009,5,2009-05-08
LONG,919.48,913.94,936.09,0.18,2009-05-12 12:00:00+00:00,NY,936.09,tp,297.98000000000025,2009,5,2009-05-20
LONG,937.88,932.39,954.34,0.18,2009-05-20 12:00:00+00:00,NY,954.34,tp,295.28000000000065,2009,5,2009-05-21
LONG,961.63,954.63,982.63,0.14,2009-05-28 14:15:00+00:00,NY,982.63,tp,293.00000000000006,2009,5,2009-05-31
LONG,981.93,974.22,1005.06,0.13,2009-06-02 12:30:00+00:00,NY,974.22,sl,-101.229999999999,2009,6,2009-06-03
SHORT,930.5,936.36,912.91,0.17,2009-07-02 15:15:00+00:00,NY,912.91,tp,298.0300000000006,2009,7,2009-07-08
SHORT,908.53,913.59,893.35,0.2,2009-07-10 07:15:00+00:00,London,913.59,sl,-102.20000000000118,2009,7,2009-07-10
SHORT,909.93,914.21,897.08,0.23,2009-07-13 11:00:00+00:00,NY,914.21,sl,-99.44000000000199,2009,7,2009-07-13
LONG,938.5,934.24,951.27,0.23,2009-07-17 12:45:00+00:00,NY,951.27,tp,292.7099999999996,2009,7,2009-07-20
LONG,954.58,950.53,966.73,0.25,2009-07-23 08:00:00+00:00,London,950.53,sl,-102.2500000000017,2009,7,2009-07-23
LONG,952.05,947.62,965.33,0.23,2009-07-24 08:30:00+00:00,London,947.62,sl,-102.88999999999886,2009,7,2009-07-26
LONG,956.23,951.76,969.63,0.22,2009-07-27 08:45:00+00:00,London,951.76,sl,-99.3400000000006,2009,7,2009-07-27
LONG,954.45,948.94,970.99,0.18,2009-08-03 06:00:00+00:00,London,970.99,tp,296.71999999999935,2009,8,2009-08-06
LONG,965.8,960.2,982.6,0.18,2009-08-06 11:00:00+00:00,NY,960.2,sl,-101.79999999999836,2009,8,2009-08-06
SHORT,946.63,951.15,933.07,0.22,2009-08-11 07:00:00+00:00,London,951.15,sl,-100.4399999999996,2009,8,2009-08-12
LONG,956.2,951.45,970.45,0.21,2009-08-14 06:45:00+00:00,London,951.45,sl,-100.75,2009,8,2009-08-14
SHORT,937.28,941.73,923.92,0.22,2009-08-18 13:15:00+00:00,NY,941.73,sl,-98.900000000001,2009,8,2009-08-18
SHORT,934.28,938.53,921.52,0.24,2009-08-19 08:00:00+00:00,London,938.53,sl,-103.0,2009,8,2009-08-19
LONG,955.73,951.05,969.76,0.21,2009-08-28 13:00:00+00:00,NY,951.05,sl,-99.28000000000134,2009,8,2009-08-31
LONG,1005.5,998.36,1026.93,0.14,2009-09-11 14:00:00+00:00,NY,998.36,sl,-100.95999999999981,2009,9,2009-09-14
LONG,1017.13,1010.82,1036.06,0.16,2009-09-16 15:15:00+00:00,NY,1010.82,sl,-101.95999999999914,2009,9,2009-09-17
LONG,1016.73,1011.04,1033.79,0.18,2009-09-22 08:15:00+00:00,London,1011.04,sl,-103.42000000000098,2009,9,2009-09-23
SHORT,989.63,997.1,967.23,0.13,2009-09-25 13:30:00+00:00,NY,997.1,sl,-98.11000000000037,2009,9,2009-09-30
LONG,1056.55,1050.6,1074.39,0.17,2009-10-12 13:15:00+00:00,NY,1050.6,sl,-102.15000000000079,2009,10,2009-10-15
SHORT,1039.8,1045.64,1022.29,0.17,2009-10-27 06:30:00+00:00,London,1045.64,sl,-100.28000000000247,2009,10,2009-10-29
LONG,1116.4,1109.54,1136.98,0.15,2009-11-13 15:00:00+00:00,NY,1136.98,tp,307.6999999999989,2009,11,2009-11-16
LONG,1138.9,1131.69,1160.53,0.14,2009-11-17 13:15:00+00:00,NY,1131.69,sl,-101.94000000000052,2009,11,2009-11-19
LONG,1169.13,1162.0,1190.52,0.14,2009-11-24 08:30:00+00:00,London,1190.52,tp,298.4599999999982,2009,11,2009-11-25
LONG,1192.83,1181.8,1225.93,0.09,2009-12-01 08:15:00+00:00,London,1225.93,tp,296.9000000000012,2009,12,2009-12-02
SHORT,1125.68,1137.11,1091.38,0.09,2009-12-10 11:45:00+00:00,NY,1137.11,sl,-103.86999999999853,2009,12,2009-12-10
SHORT,1116.3,1127.95,1081.34,0.09,2009-12-11 13:00:00+00:00,NY,1127.95,sl,-105.85000000000082,2009,12,2009-12-14
SHORT,1119.15,1128.07,1092.4,0.11,2009-12-15 12:15:00+00:00,NY,1128.07,sl,-99.1199999999983,2009,12,2009-12-16
SHORT,1106.2,1116.59,1075.02,0.1,2009-12-17 13:00:00+00:00,NY,1116.59,sl,-104.89999999999873,2009,12,2009-12-18
SHORT,1085.53,1095.28,1056.29,0.1,2009-12-22 14:15:00+00:00,NY,1095.28,sl,-98.50000000000001,2009,12,2009-12-23
SHORT,1092.1,1098.01,1074.37,0.17,2009-12-30 06:00:00+00:00,London,1098.01,sl,-101.47000000000139,2009,12,2009-12-30
SHORT,1096.18,1102.4,1077.51,0.16,2009-12-31 13:15:00+00:00,NY,1102.4,sl,-100.52000000000044,2010,1,2010-01-03
LONG,1125.68,1119.18,1145.18,0.15,2010-01-06 08:15:00+00:00,London,1145.18,tp,291.5,2010,1,2010-01-10
SHORT,1090.0,1096.51,1070.46,0.15,2010-01-26 08:00:00+00:00,London,1096.51,sl,-98.64999999999986,2010,1,2010-01-26
SHORT,1095.23,1101.74,1075.71,0.15,2010-01-27 08:00:00+00:00,London,1075.71,tp,291.7999999999997,2010,1,2010-01-28
