dir,entry,sl,tp,lot,open_ts,session,exit,reason,pnl,year,month,date
SHORT,878.73,887.22,861.74,0.12,2009-04-07 07:00:00+00:00,London,887.22,sl,-102.88000000000011,2009,4,2009-04-08
SHORT,880.45,886.74,867.88,0.16,2009-04-09 12:45:00+00:00,NY,886.74,sl,-101.63999999999942,2009,4,2009-04-12
LONG,893.08,887.97,903.3,0.2,2009-04-23 08:30:00+00:00,London,903.3,tp,203.39999999999827,2009,4,2009-04-23
SHORT,881.75,888.12,869.01,0.16,2009-05-01 07:00:00+00:00,London,888.12,sl,-102.92000000000007,2009,5,2009-05-01
SHORT,886.68,892.65,874.75,0.17,2009-05-01 13:30:00+00:00,NY,892.65,sl,-102.49000000000048,2009,5,2009-05-03
LONG,903.58,897.72,915.3,0.17,2009-05-05 07:00:00+00:00,London,915.3,tp,198.23999999999856,2009,5,2009-05-05
LONG,904.88,897.88,918.88,0.14,2009-05-06 06:30:00+00:00,London,918.88,tp,195.00000000000003,2009,5,2009-05-07
LONG,914.63,908.43,927.02,0.16,2009-05-07 11:45:00+00:00,NY,908.43,sl,-100.20000000000073,2009,5,2009-05-08
LONG,919.48,913.94,930.55,0.18,2009-05-12 12:00:00+00:00,NY,930.55,tp,198.25999999999883,2009,5,2009-05-13
LONG,931.83,927.19,941.11,0.22,2009-05-15 12:00:00+00:00,NY,927.19,sl,-103.0799999999997,2009,5,2009-05-18
LONG,929.85,925.8,937.95,0.25,2009-05-18 07:15:00+00:00,London,925.8,sl,-102.2500000000017,2009,5,2009-05-18
LONG,931.78,927.39,940.55,0.23,2009-05-20 08:15:00+00:00,London,940.55,tp,200.7099999999996,2009,5,2009-05-20
LONG,937.88,932.39,948.85,0.18,2009-05-20 12:00:00+00:00,NY,948.85,tp,196.4600000000005,2009,5,2009-05-21
LONG,962.45,955.45,976.45,0.14,2009-05-28 12:15:00+00:00,NY,976.45,tp,195.00000000000003,2009,5,2009-05-29
LONG,978.18,972.27,989.99,0.17,2009-06-01 11:15:00+00:00,NY,972.27,sl,-101.46999999999946,2009,6,2009-06-02
LONG,981.93,974.22,997.35,0.13,2009-06-02 12:30:00+00:00,NY,974.22,sl,-101.229999999999,2009,6,2009-06-03
SHORT,924.05,930.33,911.5,0.16,2009-06-23 13:15:00+00:00,NY,930.33,sl,-101.4800000000014,2009,6,2009-06-24
SHORT,931.03,936.46,920.17,0.18,2009-07-01 06:45:00+00:00,London,936.46,sl,-98.74000000000113,2009,7,2009-07-01
SHORT,938.03,943.15,927.79,0.2,2009-07-01 11:15:00+00:00,NY,943.15,sl,-103.40000000000009,2009,7,2009-07-01
SHORT,932.6,936.98,923.85,0.23,2009-07-03 08:30:00+00:00,London,923.85,tp,200.25000000000003,2009,7,2009-07-06
SHORT,923.08,927.6,914.03,0.22,2009-07-06 12:30:00+00:00,NY,927.6,sl,-100.4399999999996,2009,7,2009-07-07
SHORT,920.5,925.82,909.87,0.19,2009-07-08 07:30:00+00:00,London,909.87,tp,200.96999999999989,2009,7,2009-07-08
SHORT,914.55,920.14,903.36,0.18,2009-07-09 06:15:00+00:00,London,920.14,sl,-101.62000000000057,2009,7,2009-07-13
LONG,938.5,934.24,947.01,0.23,2009-07-17 12:45:00+00:00,NY,947.01,tp,194.7299999999998,2009,7,2009-07-20
LONG,954.58,950.53,962.68,0.25,2009-07-23 08:00:00+00:00,London,950.53,sl,-102.2500000000017,2009,7,2009-07-23
LONG,956.68,952.04,965.96,0.22,2009-07-23 12:45:00+00:00,NY,952.04,sl,-103.0799999999997,2009,7,2009-07-23
LONG,952.05,947.62,960.91,0.23,2009-07-24 08:30:00+00:00,London,947.62,sl,-102.88999999999886,2009,7,2009-07-26
LONG,956.75,952.33,965.6,0.23,2009-07-27 06:15:00+00:00,London,952.33,sl,-102.65999999999906,2009,7,2009-07-27
SHORT,932.38,936.91,923.31,0.22,2009-07-30 07:45:00+00:00,London,936.91,sl,-100.6599999999994,2009,7,2009-07-30
LONG,954.45,948.94,965.47,0.18,2009-08-03 06:00:00+00:00,London,965.47,tp,197.35999999999967,2009,8,2009-08-04
LONG,964.3,958.92,975.06,0.19,2009-08-05 12:15:00+00:00,NY,958.92,sl,-103.21999999999991,2009,8,2009-08-06
LONG,963.43,957.23,975.83,0.16,2009-08-06 15:30:00+00:00,NY,957.23,sl,-100.19999999999891,2009,8,2009-08-07
SHORT,946.63,951.15,937.59,0.22,2009-08-11 07:00:00+00:00,London,951.15,sl,-100.4399999999996,2009,8,2009-08-12
